,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
0,0.22819084,0.22831835,0.23063615,0.2305413,0.23076108,0.23199166,0.23195782,0.23196225
1,0.21238597,0.21245012,0.21438691,0.21411823,0.21391258,0.21457763,0.21446066,0.21408531
2,0.21528058,0.21515884,0.21710777,0.21679403,0.21655281,0.21719317,0.21693504,0.2164764
3,0.25478497,0.25270987,0.25319186,0.25230515,0.2510509,0.25124195,0.249621,0.248156
4,0.21711822,0.21698506,0.2190172,0.21872027,0.21845369,0.219107,0.21887687,0.21844678
5,0.2344372,0.23447628,0.23648742,0.23634695,0.23623355,0.23580147,0.23545277,0.23558365
6,0.21688294,0.21687926,0.2189453,0.21877737,0.2185635,0.2192262,0.21907228,0.21871762
7,0.21850124,0.21848243,0.2204657,0.22026512,0.22004189,0.22060926,0.22037375,0.21993059
8,0.21939379,0.21932514,0.22142358,0.22121717,0.22099268,0.22168042,0.22146684,0.22106935
9,0.21262468,0.21245961,0.21435054,0.21402907,0.21380486,0.2144726,0.21422975,0.21383563
10,0.21531259,0.21521765,0.21728142,0.2169976,0.21677792,0.21730644,0.21705021,0.2165548
11,0.21770218,0.21765761,0.21974486,0.21954548,0.21939802,0.21998966,0.2198065,0.21939337
12,0.21555267,0.21546108,0.21741313,0.21713986,0.2169262,0.21761394,0.21744306,0.2170444
13,0.21419673,0.21411394,0.21607222,0.21577542,0.215562,0.21619678,0.2160775,0.21558239
14,0.2174737,0.21735387,0.21937342,0.21911861,0.21888828,0.2195707,0.21932831,0.21892926
15,0.21615864,0.2160159,0.21802324,0.21771035,0.21749826,0.21815273,0.21792108,0.21748334
16,0.21501695,0.21495038,0.2169355,0.21664493,0.21642138,0.21718773,0.21702704,0.21666838
17,0.21287788,0.21277508,0.21479103,0.21444967,0.2142265,0.21501149,0.21479443,0.21434185
18,0.2184315,0.2183856,0.22049375,0.22021672,0.22009835,0.22095667,0.22073285,0.22051221
19,0.22016418,0.22009894,0.22210042,0.22177738,0.22150709,0.22237372,0.22218595,0.22169293
20,0.21615227,0.21612036,0.21816915,0.21789646,0.21770726,0.21838334,0.21825139,0.2178697
21,0.21600023,0.21589985,0.21786162,0.21749167,0.21728595,0.21792956,0.21771781,0.2172663
22,0.21323748,0.21314058,0.21516807,0.214909,0.21471299,0.21531539,0.21515404,0.21476994
23,0.21654344,0.21645649,0.21841437,0.2181244,0.21791714,0.21864288,0.21843162,0.21796332
24,0.22628963,0.22577216,0.22702222,0.2263725,0.22599742,0.22620924,0.22571905,0.22540194
25,0.2268802,0.22675198,0.22832087,0.22807574,0.2273346,0.22845706,0.22858809,0.22797862
26,0.216356,0.21646173,0.21847834,0.21825795,0.21832147,0.21938112,0.21929006,0.21906598
27,0.21747775,0.21750928,0.21959712,0.21940437,0.2192138,0.21990073,0.21969654,0.2192839
28,0.23838864,0.23851304,0.24077912,0.24039842,0.24030568,0.24125153,0.24103186,0.24087217
29,0.21529287,0.21513842,0.21714441,0.21686491,0.21663359,0.21729669,0.21708444,0.21670234
30,0.22580492,0.22584213,0.22772998,0.22759108,0.22741097,0.22800912,0.22793661,0.2274885
31,0.21984191,0.219747,0.22170553,0.22141649,0.22127141,0.22200693,0.22177233,0.2214067
32,0.21677366,0.2167147,0.218728,0.21850829,0.21827835,0.21900156,0.2187753,0.21836692
33,0.2170213,0.21705948,0.21902424,0.21886444,0.21871659,0.21954209,0.21942489,0.2191849
34,0.2149675,0.21491453,0.21691887,0.21665387,0.21638466,0.21709856,0.21684241,0.21639115
35,0.2146361,0.21450451,0.2164742,0.21617699,0.21597777,0.21663935,0.21644475,0.21605054
36,0.21168698,0.21160671,0.21361108,0.21335419,0.21317057,0.2138508,0.21359482,0.21322517
37,0.21710837,0.21701443,0.21900098,0.2187764,0.21866165,0.21933196,0.2191406,0.21877052
38,0.21435414,0.21421058,0.21620588,0.21589023,0.21569207,0.21636616,0.21618243,0.21577118
39,0.21289815,0.21286198,0.21476567,0.21460484,0.21437567,0.2150947,0.214863,0.21446928
40,0.2101416,0.21003583,0.21193802,0.21165073,0.21143171,0.21206729,0.21191263,0.21152967
41,0.21730746,0.21722183,0.21919909,0.21888931,0.21873002,0.21915646,0.21898836,0.21852447
42,0.21867843,0.21852261,0.2206238,0.22037259,0.2201103,0.22083315,0.22066057,0.22024065
43,0.21980754,0.21972969,0.22174557,0.22149697,0.22127767,0.22195783,0.22180532,0.22137664
44,0.21691625,0.2167771,0.21874602,0.2184029,0.2181503,0.21884742,0.21865083,0.21827403
45,0.21619967,0.2161867,0.2182594,0.21803012,0.21782728,0.21845606,0.21819812,0.21779025
46,0.2203443,0.22030474,0.22235352,0.2221328,0.22189415,0.22251756,0.2223729,0.22193463
47,0.2167816,0.21664022,0.21858993,0.21826828,0.21809657,0.21877035,0.21859854,0.21820968
48,0.26966208,0.26913095,0.27107245,0.27032682,0.26979956,0.27044466,0.26992315,0.26929778
49,0.21621104,0.21610174,0.21809803,0.21780625,0.21765716,0.21829522,0.21809137,0.21763481
50,0.215748,0.21570338,0.21765862,0.21736698,0.21719995,0.2177584,0.21755396,0.21720564
51,0.21749194,0.21739547,0.21937071,0.21902427,0.21887138,0.21942267,0.21923843,0.21881798
52,0.21521363,0.2151391,0.21706252,0.21679665,0.21655826,0.21714438,0.2169437,0.2165175
53,0.21231265,0.21221778,0.21415673,0.21381065,0.2136244,0.21440238,0.21414442,0.2137712
54,0.21931277,0.21913643,0.22104558,0.22085331,0.22064254,0.22140783,0.22122918,0.22093454
55,0.21157879,0.21158156,0.21362491,0.21339677,0.2132265,0.21388853,0.21377367,0.21341953
56,0.21600743,0.21594335,0.21802703,0.21780127,0.21757753,0.21835321,0.21814106,0.21777321
57,0.2173971,0.21727185,0.21922599,0.21905158,0.21896774,0.21968128,0.21948515,0.2191779
