,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
0,2.6226044e-05,2.8133392e-05,3.2663345e-05,3.3020973e-05,3.3318996e-05,3.159046e-05,3.5762787e-05
1,2.002716e-05,2.2053719e-05,2.2411346e-05,2.2530556e-05,2.270937e-05,2.4139881e-05,2.5987625e-05
2,1.4901161e-06,3.0994415e-06,2.682209e-06,3.695488e-06,2.682209e-06,2.503395e-06,2.5629997e-06
3,1.5377998e-05,1.5676022e-05,1.8537045e-05,1.7523766e-05,1.8119812e-05,1.8239021e-05,2.0980835e-05
4,1.6093254e-06,2.6226044e-06,2.503395e-06,1.7285347e-06,2.6226044e-06,3.1590462e-06,2.4437904e-06
5,2.2530556e-05,2.783537e-05,3.6478043e-05,3.6776066e-05,4.2140484e-05,4.4465065e-05,4.3988228e-05
6,-8.34465e-07,-7.1525574e-07,-7.1525574e-07,-3.5762787e-07,-1.0728836e-06,-7.1525574e-07,-7.1525574e-07
7,-3.5762787e-07,-4.7683716e-07,0.0,5.9604645e-08,-1.1920929e-07,1.1920929e-07,1.7881393e-07
8,1.9669533e-06,5.185604e-06,1.04904175e-05,1.3113022e-05,1.5437603e-05,1.7881393e-05,1.9192696e-05
9,1.5258789e-05,1.6570091e-05,1.8894672e-05,1.8954277e-05,2.002716e-05,2.2172928e-05,2.2053719e-05
10,2.1457672e-06,6.2584877e-06,1.335144e-05,1.6570091e-05,2.0086765e-05,2.3126602e-05,2.3305416e-05
11,3.9339066e-06,4.529953e-06,4.9471855e-06,5.185604e-06,4.2915344e-06,4.1127205e-06,4.5895576e-06
12,3.695488e-05,3.862381e-05,4.1782856e-05,4.3988228e-05,4.0352345e-05,4.5895576e-05,4.529953e-05
13,4.351139e-06,5.066395e-06,5.543232e-06,5.7816505e-06,5.6028366e-06,6.3180923e-06,7.5101852e-06
14,4.4584274e-05,4.7922134e-05,5.2690506e-05,5.286932e-05,5.38826e-05,5.2571297e-05,5.698204e-05
15,9.536743e-07,1.0728836e-06,7.1525574e-07,7.1525574e-07,8.34465e-07,1.0728836e-06,1.3709068e-06
16,-1.1920929e-07,-7.1525574e-07,5.9604645e-08,2.9802322e-07,-4.7683716e-07,-7.1525574e-07,-3.5762787e-07
17,-7.1525574e-07,1.1920929e-07,-2.3841858e-07,-7.1525574e-07,-5.9604645e-07,-8.34465e-07,-9.536743e-07
18,7.5638294e-05,8.1539154e-05,8.499622e-05,8.7201595e-05,8.535385e-05,8.648634e-05,9.346008e-05
19,-4.7683716e-07,-5.9604645e-07,-1.1920929e-06,-9.536743e-07,-1.3113022e-06,-9.536743e-07,-1.0728836e-06
20,4.7445297e-05,5.1379204e-05,5.275011e-05,5.7697296e-05,4.9889088e-05,5.5849552e-05,5.6743622e-05
21,1.847744e-06,2.3841858e-06,1.6093254e-06,1.7881393e-06,1.7881393e-06,1.9669533e-06,1.7285347e-06
22,1.5974045e-05,1.692772e-05,1.8060207e-05,1.8715858e-05,1.758337e-05,1.8715858e-05,2.1398067e-05
23,0.00014030933,0.00014549494,0.0001552701,0.00016415119,0.00017094612,0.00017082691,0.0001796484
24,-1.1920929e-07,-5.9604645e-07,-3.5762787e-07,-3.5762787e-07,2.3841858e-07,-4.7683716e-07,-7.1525574e-07
25,2.9802322e-07,5.9604645e-08,2.3841858e-07,7.1525574e-07,8.34465e-07,3.5762787e-07,1.1920929e-07
26,-2.3841858e-07,2.9802322e-07,3.5762787e-07,1.1920929e-07,-2.3841858e-07,0.0,5.364418e-07
27,4.464388e-05,4.7385693e-05,6.264448e-05,6.0796738e-05,7.081032e-05,7.6174736e-05,7.456541e-05
28,2.6166439e-05,2.8431416e-05,3.2305717e-05,2.9444695e-05,2.95043e-05,3.015995e-05,3.4570694e-05
29,4.041195e-05,3.9994717e-05,4.3272972e-05,4.36306e-05,4.5776367e-05,4.3690205e-05,4.8160553e-05
30,3.2246113e-05,3.2782555e-05,3.8027763e-05,3.439188e-05,3.3974648e-05,3.504753e-05,3.5881996e-05
31,3.8206577e-05,3.9696693e-05,4.3570995e-05,4.541874e-05,4.1365623e-05,4.3153763e-05,4.774332e-05
32,-1.1920929e-07,3.5762787e-07,1.7881393e-07,2.9802322e-07,2.3841858e-07,5.364418e-07,1.7881393e-07
