,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
0,0.87452924,0.8746651,0.8746162,0.8743917,0.8743538,0.8745185,0.87420106,0.8741992
1,0.87994677,0.8800261,0.8799522,0.8797106,0.8797809,0.8797382,0.8795944,0.879691
2,0.9328666,0.93280196,0.932764,0.93272203,0.9327882,0.9327271,0.9327512,0.93272734
3,0.9013096,0.9012971,0.90117115,0.9010868,0.9008931,0.9009877,0.9009741,0.900896
4,0.96120155,0.96112317,0.96114457,0.96109176,0.96105635,0.9610477,0.9610147,0.96105653
5,0.8053219,0.80521214,0.80515563,0.80485713,0.80498874,0.8049197,0.8047826,0.8048859
6,0.97935265,0.979354,0.9793556,0.97935593,0.9793551,0.97935474,0.9793544,0.9793564
7,0.9710246,0.97102493,0.97102594,0.9710306,0.971031,0.9710285,0.97102916,0.9710314
8,0.78638065,0.7862263,0.7861028,0.78595304,0.7859064,0.78591627,0.78585607,0.7858099
9,0.91430485,0.9143188,0.9142372,0.91394204,0.9139768,0.9139579,0.9140056,0.914028
10,0.74137104,0.74129164,0.7411623,0.7410199,0.7410383,0.7409944,0.74094754,0.74093413
11,0.95298237,0.9529832,0.95289236,0.9528343,0.95283824,0.9528378,0.9527856,0.95282423
12,0.864011,0.8640263,0.86417806,0.86385363,0.8637787,0.86379087,0.8638037,0.8636443
13,0.9391564,0.9391442,0.9391295,0.93895775,0.9389363,0.9388967,0.9389519,0.93894315
14,0.8623094,0.86239034,0.8623455,0.86208415,0.86197585,0.86212236,0.8621608,0.8620195
15,0.99487054,0.99486643,0.99486697,0.9948641,0.9948658,0.99486613,0.99486476,0.99486524
16,0.9660511,0.9660497,0.9660518,0.9660524,0.96605134,0.9660481,0.9660476,0.9660496
17,0.9840505,0.98404855,0.98404914,0.9840512,0.9840509,0.9840524,0.98405313,0.98405254
18,0.84455365,0.8446018,0.8447483,0.8439878,0.8441715,0.8439925,0.8440697,0.84407425
19,0.9863643,0.9863673,0.9863631,0.9863597,0.98635954,0.9863572,0.98635775,0.9863566
20,0.87939405,0.87920445,0.87925935,0.8790317,0.8787954,0.87859786,0.87885666,0.87885386
21,0.9705751,0.9706232,0.9705697,0.970505,0.9704938,0.9705041,0.9704864,0.97050786
22,0.9114897,0.91146904,0.91150415,0.91115993,0.9113796,0.91125554,0.9111891,0.911175
23,0.80853146,0.80875933,0.8088568,0.8082676,0.80814606,0.80799896,0.8082173,0.8079714
24,0.9736506,0.9736511,0.97365177,0.9736536,0.9736533,0.973653,0.97365254,0.97365224
25,0.98926586,0.9892628,0.98925596,0.98925674,0.98925376,0.9892561,0.98924905,0.9892551
26,0.9830838,0.9830841,0.98308456,0.98308593,0.9830868,0.9830887,0.9830883,0.98308957
27,0.7704664,0.770621,0.77028745,0.77023256,0.77030057,0.7700887,0.7701103,0.7701013
28,0.9027029,0.9027347,0.90270555,0.9023976,0.9025345,0.90261126,0.9023914,0.90244603
29,0.8776213,0.87768775,0.8776135,0.8773429,0.87728083,0.87748283,0.8772156,0.87743735
30,0.9038379,0.9038909,0.9039438,0.9036908,0.9035214,0.903538,0.9035503,0.9035891
31,0.8866704,0.88651466,0.88668996,0.88619184,0.886194,0.8862342,0.8862095,0.8862867
32,0.97481495,0.97478336,0.9747686,0.9747586,0.9747562,0.97477096,0.97475517,0.97474563
33,0.85333717,0.8530994,0.853175,0.8529238,0.8526807,0.85288054,0.85272074,0.8528386
34,0.8726444,0.8725186,0.872605,0.87246275,0.87239176,0.8724916,0.87227774,0.87214285
35,0.7732754,0.77320164,0.7731246,0.7730603,0.7729968,0.77303874,0.77297735,0.772937
36,0.7907469,0.7907146,0.790679,0.79056925,0.7905563,0.7905439,0.79050463,0.7904133
