,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
0,1.5079975e-05,1.8894672e-05,2.360344e-05,2.5749207e-05,2.9981136e-05,2.8729439e-05,2.69413e-05
1,1.5676022e-05,2.1576881e-05,2.6881695e-05,3.3438206e-05,4.2557716e-05,4.798174e-05,4.220009e-05
2,-1.66893e-06,-1.1920929e-06,-1.0728836e-06,-8.34465e-07,-8.34465e-07,-7.1525574e-07,-7.1525574e-07
3,-8.34465e-07,-2.3841858e-07,1.1920929e-07,5.9604645e-07,5.9604645e-08,5.364418e-07,-4.7683716e-07
4,1.0728836e-06,5.9604645e-07,1.1920929e-06,1.7881393e-06,1.3709068e-06,1.2516975e-06,1.4305115e-06
5,1.7642975e-05,2.2530556e-05,2.4139881e-05,3.027916e-05,3.0040741e-05,3.182888e-05,2.6404858e-05
6,0.0,5.364418e-07,-3.5762787e-07,1.1920929e-07,5.9604645e-07,7.1525574e-07,7.1525574e-07
7,0.0,2.3841858e-07,2.3841858e-07,6.556511e-07,1.1920929e-07,1.1920929e-07,5.364418e-07
8,4.23193e-06,1.2636185e-05,2.5510788e-05,3.33786e-05,3.4809113e-05,4.208088e-05,4.0471554e-05
9,1.3411045e-05,1.6093254e-05,1.847744e-05,2.0325184e-05,1.9967556e-05,2.2053719e-05,2.0444393e-05
10,3.695488e-06,1.1444092e-05,2.2292137e-05,2.8252602e-05,3.4213066e-05,4.0352345e-05,3.9100647e-05
11,2.0861626e-06,1.6093254e-06,2.5629997e-06,3.5762787e-06,3.2186508e-06,3.9339066e-06,3.9339066e-06
12,6.7949295e-06,9.4771385e-06,1.168251e-05,1.1742115e-05,1.2278557e-05,1.6093254e-05,1.347065e-05
13,2.682209e-06,2.9802322e-06,4.053116e-06,3.4570694e-06,4.1127205e-06,5.00679e-06,3.7550926e-06
14,1.013279e-06,1.3113022e-06,1.9073486e-06,2.9206276e-06,3.7550926e-06,2.9802322e-06,3.2186508e-06
15,-3.5762787e-07,-8.34465e-07,1.7881393e-07,2.3841858e-07,-7.1525574e-07,-2.3841858e-07,-4.7683716e-07
16,0.0,1.7881393e-07,5.9604645e-08,2.3841858e-07,3.5762787e-07,-4.7683716e-07,3.5762787e-07
17,-1.1920929e-07,1.1920929e-07,-3.5762787e-07,-2.3841858e-07,5.9604645e-07,0.0,5.9604645e-08
18,5.9604645e-06,1.1265278e-05,1.8000603e-05,2.4914742e-05,2.849102e-05,3.170967e-05,3.1411648e-05
19,-3.5762787e-07,-8.34465e-07,-1.1920929e-07,-1.1920929e-07,-4.7683716e-07,-5.9604645e-07,-3.5762787e-07
20,3.33786e-06,4.708767e-06,5.90086e-06,5.7816505e-06,8.106232e-06,8.702278e-06,6.7949295e-06
21,3.5762787e-07,1.1324883e-06,5.9604645e-07,1.3113022e-06,1.9073486e-06,1.013279e-06,1.0728836e-06
22,5.3048134e-06,7.6293945e-06,9.298325e-06,9.23872e-06,9.834766e-06,1.1503696e-05,1.04904175e-05
23,3.7372112e-05,4.1663647e-05,3.4093857e-05,4.3153763e-05,7.045269e-05,7.6532364e-05,5.596876e-05
24,-7.1525574e-07,-1.0728836e-06,-7.1525574e-07,-2.3841858e-07,-9.536743e-07,-8.34465e-07,-2.3841858e-07
25,-5.9604645e-07,-4.7683716e-07,0.0,-5.9604645e-07,2.3841858e-07,-1.1920929e-07,-1.1920929e-07
26,4.7683716e-07,-2.3841858e-07,2.3841858e-07,-1.1920929e-07,0.0,5.364418e-07,9.536743e-07
27,2.3245811e-05,3.0755997e-05,3.3795834e-05,3.784895e-05,4.6133995e-05,4.5359135e-05,4.10676e-05
28,2.0623207e-05,2.2828579e-05,2.5987625e-05,2.6881695e-05,2.682209e-05,3.0219555e-05,2.4497509e-05
29,1.23381615e-05,1.2874603e-05,1.5735626e-05,1.7225742e-05,1.9848347e-05,2.1636486e-05,1.66893e-05
30,7.2717667e-06,9.775162e-06,1.2755394e-05,1.5199184e-05,1.4424324e-05,1.5854836e-05,1.4126301e-05
31,1.257658e-05,1.5079975e-05,1.9669533e-05,2.0384789e-05,2.1278858e-05,2.7120113e-05,2.1994114e-05
32,6.556511e-07,7.748604e-07,7.748604e-07,1.1920929e-06,1.66893e-06,8.940697e-07,1.013279e-06
33,9.775162e-06,1.2278557e-05,1.3947487e-05,1.50203705e-05,1.680851e-05,1.92523e-05,1.7464161e-05
34,1.4603138e-05,2.2888184e-05,2.4855137e-05,3.159046e-05,4.10676e-05,4.0352345e-05,3.927946e-05
35,6.9737434e-06,1.4901161e-05,2.6226044e-05,3.1769276e-05,3.8444996e-05,4.4047832e-05,4.2676926e-05
36,8.6426735e-06,1.6629696e-05,2.6106834e-05,3.2424927e-05,3.7312508e-05,4.0769577e-05,4.0650368e-05
37,1.0728836e-06,1.6093254e-06,1.66893e-06,3.3974648e-06,3.4570694e-06,4.529953e-06,3.2782555e-06
38,6.198883e-06,8.046627e-06,1.1205673e-05,1.1920929e-05,1.2636185e-05,1.347065e-05,1.1384487e-05
39,1.3828278e-05,1.6152859e-05,1.9550323e-05,1.937151e-05,2.2053719e-05,2.5987625e-05,2.2351742e-05
40,5.364418e-06,1.66893e-05,3.3199787e-05,4.196167e-05,4.8995018e-05,5.6684017e-05,5.51939e-05
41,3.9339066e-06,8.34465e-06,1.4126301e-05,1.680851e-05,1.8954277e-05,2.0980835e-05,2.1636486e-05
42,1.0728836e-06,1.3113022e-06,2.682209e-06,1.9073486e-06,3.0994415e-06,4.2915344e-06,3.8146973e-06
43,8.34465e-07,1.1920929e-07,1.1920929e-06,6.556511e-07,7.748604e-07,1.1324883e-06,3.5762787e-07
44,1.001358e-05,1.1861324e-05,1.6272068e-05,1.6868114e-05,1.7404556e-05,1.7940998e-05,1.591444e-05
