,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
0,0.8099477,0.80960494,0.8092299,0.80910724,0.8090627,0.80912846,0.8087774,0.8088632
1,0.7594461,0.75937694,0.7589799,0.7588545,0.75880826,0.7587469,0.7585925,0.7585335
2,0.9500597,0.9500618,0.95006514,0.9500679,0.9500675,0.9500779,0.9500811,0.9500787
3,0.96436685,0.964356,0.96434915,0.96434546,0.96434224,0.9643416,0.96433574,0.9643347
4,0.934371,0.9342536,0.9341334,0.93407494,0.9340483,0.9339884,0.9339264,0.93396795
5,0.81078196,0.8104419,0.8101258,0.8099639,0.8100598,0.80989903,0.809555,0.8097136
6,0.9569909,0.9569877,0.9569897,0.9569864,0.95698994,0.9569886,0.9569888,0.9569894
7,0.9587881,0.9587869,0.9587873,0.95879096,0.95878947,0.9587897,0.9587883,0.9587844
8,0.7672984,0.76704025,0.7666968,0.7665411,0.76650137,0.76631755,0.7661724,0.7661909
9,0.85359234,0.85334975,0.8530708,0.8528676,0.8529167,0.8529016,0.8526155,0.85277134
10,0.724156,0.7240837,0.72392595,0.7238613,0.72387755,0.72368705,0.723574,0.72353965
11,0.91892505,0.9187888,0.9186477,0.918634,0.9185837,0.918495,0.9184081,0.9184508
12,0.84517044,0.8449599,0.844785,0.84462214,0.84457064,0.8445588,0.8443743,0.84439266
13,0.9139506,0.91383106,0.9137014,0.9136,0.9135564,0.9135352,0.9134074,0.9134447
14,0.9330763,0.9330047,0.932907,0.9328596,0.9328722,0.93279976,0.93274784,0.93276983
15,0.9878485,0.9878428,0.98783726,0.98783356,0.9878339,0.9878273,0.9878257,0.98782885
16,0.9564878,0.9564852,0.9564873,0.9564825,0.95648205,0.9564811,0.95648175,0.9564834
17,0.97212386,0.9721237,0.97212213,0.97212034,0.9721171,0.97212213,0.9721212,0.9721204
18,0.77918124,0.77901566,0.7787089,0.77855635,0.7785334,0.77839756,0.77830505,0.7782415
19,0.9767698,0.9767618,0.9767534,0.9767452,0.97673976,0.9767345,0.97673017,0.97673035
20,0.89934886,0.8991541,0.8989779,0.8988163,0.89883876,0.8987968,0.89861315,0.89864844
21,0.94594073,0.9458502,0.9457342,0.9456408,0.94564766,0.9455996,0.945531,0.9455452
22,0.873485,0.8732926,0.8730517,0.87287325,0.87293875,0.8727448,0.8725819,0.87264663
23,0.7539609,0.75363725,0.7534276,0.75329876,0.7532822,0.7531214,0.75304586,0.75302094
24,0.95469654,0.95470226,0.9547118,0.95472383,0.95472693,0.9547296,0.9547324,0.954733
25,0.9751341,0.9751256,0.9751064,0.9750999,0.9751026,0.97509503,0.97508055,0.9750862
26,0.96648824,0.96649337,0.9664906,0.9664885,0.9664836,0.9664808,0.9664813,0.966479
27,0.7761917,0.77608556,0.7757737,0.7756824,0.77556854,0.7754176,0.77527374,0.7751764
28,0.83497417,0.8346174,0.8344159,0.8342547,0.8343014,0.83414763,0.8338212,0.834101
29,0.8576977,0.8575033,0.85720396,0.8570296,0.85708183,0.85701084,0.8567845,0.856786
30,0.8701693,0.86991537,0.8697813,0.86951905,0.8694554,0.8692769,0.8691063,0.86914474
