,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin
0,0.29932976,0.2973805,0.30563992,0.29551655,0.29139215,0.28414035
1,0.9968473,0.99594545,0.9885545,0.9793586,0.93544984,0.9165515
2,0.6726969,0.6747405,0.68591565,0.66126776,0.65024227,0.6348169
3,0.038430095,0.038981676,0.039956212,0.037780046,0.03531003,0.031715274
4,0.6735014,0.67428017,0.6761037,0.6731267,0.6815561,0.6664231
5,0.64945984,0.66019917,0.66528314,0.6477953,0.6300215,0.62034374
6,0.855143,0.85830677,0.85673165,0.8422259,0.82921374,0.8234531
7,0.8882362,0.8911891,0.9009725,0.8976846,0.8767836,0.87907714
8,0.75424033,0.75312895,0.7519546,0.7265876,0.7326653,0.702671
9,0.78590274,0.7912399,0.7967999,0.78034484,0.7583856,0.73342013
10,0.82559025,0.8267687,0.8326256,0.82815206,0.82428885,0.8158698
11,0.75505996,0.75670165,0.771556,0.75048685,0.75213546,0.7170708
12,0.8291564,0.8266617,0.8268682,0.82270813,0.8234459,0.7861085
13,0.48107463,0.48229122,0.4962889,0.47542155,0.47537684,0.44819134
14,0.73957384,0.7365835,0.75618917,0.7302659,0.731913,0.71159375
15,0.6473683,0.63900834,0.6448319,0.6313925,0.61415654,0.60491276
16,0.6457758,0.6495454,0.6591057,0.64433193,0.6432323,0.6426596
17,0.6071168,0.6040007,0.6253749,0.61579096,0.629092,0.6220955
18,0.67378354,0.6700026,0.6854121,0.6699263,0.6602552,0.6541079
19,0.7872216,0.7900254,0.7851352,0.7567321,0.74942243,0.7209819
20,0.9471636,0.95224625,0.9550063,0.9518908,0.9301061,0.93005186
21,0.8303124,0.83810997,0.84433436,0.82596433,0.8414344,0.8402848
22,0.7693629,0.7709056,0.78939056,0.7734804,0.7695011,0.7271187
23,0.90968156,0.9056396,0.9092604,0.914633,0.89340746,0.9030066
24,0.89612013,0.89297825,0.9051786,0.88276476,0.8685434,0.8735368
25,0.8640878,0.8639721,0.8652003,0.86655456,0.87758154,0.88378644
26,0.8307184,0.82676905,0.8289548,0.81006134,0.80642486,0.75346094
27,0.013452947,0.013798296,0.013617456,0.012631059,0.011681259,0.010642827
28,0.79740655,0.80587775,0.8149767,0.7969852,0.79123294,0.77054995
29,0.8669665,0.8668787,0.87166584,0.87068355,0.8574504,0.84576523
30,0.68593204,0.6939313,0.7061355,0.69968903,0.6965298,0.67359924
31,0.8705027,0.87757915,0.886893,0.8830831,0.8769696,0.85440123
32,0.7152273,0.7175042,0.7276238,0.7062352,0.708676,0.6909137
33,0.84932643,0.84839123,0.86742926,0.8545893,0.8483982,0.7928702
34,0.82534415,0.8296268,0.83295435,0.82474625,0.83681935,0.7816339
35,0.9392828,0.93527687,0.9391012,0.9394147,0.9310845,0.9260157
36,0.88220644,0.8821016,0.8986267,0.8800243,0.8697543,0.8519928
37,1.0018066,1.0006114,0.9858719,0.9819333,0.9681066,0.9704658
38,0.74545634,0.74944377,0.76445204,0.73748904,0.7054903,0.6678779
39,0.85667074,0.85788006,0.8650654,0.8521887,0.8376712,0.7745129
40,0.43514675,0.42546707,0.43145168,0.42322963,0.42915887,0.42466974
41,0.014448643,0.014615059,0.014230132,0.013757527,0.012458682,0.011804581
42,0.5763606,0.5803844,0.5770663,0.5572596,0.5597131,0.51848376
43,0.62067294,0.6303471,0.6488224,0.6309284,0.61475223,0.60812604
44,0.8283323,0.82095546,0.8188584,0.8201392,0.82479423,0.791593
45,0.70719725,0.7196093,0.72105324,0.70555794,0.6958717,0.65074015
46,0.9330491,0.9410786,0.9352357,0.93182075,0.9026371,0.8682096
47,0.7914796,0.80290735,0.81491154,0.79680914,0.78330445,0.7618941
48,0.23122692,0.23474425,0.24556792,0.22943681,0.22591442,0.2098335
49,0.58579767,0.5858423,0.6012329,0.59793615,0.58799005,0.58799946
50,0.93807113,0.9461889,0.9593057,0.9499841,0.9477512,0.9057548
51,0.8742725,0.87623477,0.8754576,0.8642222,0.8589436,0.8612934
52,0.057323456,0.059157014,0.058956563,0.05741161,0.05739343,0.058840454
53,0.7393194,0.73472476,0.7380028,0.72514033,0.70493466,0.6859507
54,0.38711596,0.38407958,0.4014877,0.37751436,0.36247122,0.35031515
55,0.87375855,0.87914187,0.8859514,0.8786197,0.872677,0.8737283
56,0.60060334,0.60557854,0.6204728,0.5906805,0.5753968,0.5780422
57,0.6216202,0.6268318,0.63498497,0.6003196,0.5489159,0.50704306
58,0.036608756,0.037302554,0.036881566,0.035041153,0.03207904,0.029367685
59,0.9061666,0.89451283,0.891995,0.87231785,0.87903774,0.8837501
60,0.83594483,0.835037,0.85239553,0.84664685,0.83026147,0.8266942
61,0.78076166,0.7855815,0.7949879,0.7775724,0.7748898,0.75160277
62,0.79560083,0.80646247,0.8206803,0.80041647,0.7761202,0.76623666
63,0.82843584,0.81892914,0.83102506,0.8283957,0.82154965,0.84150946
64,0.90652776,0.9126462,0.927464,0.91040856,0.90536976,0.89132124
65,0.85282385,0.8540599,0.85954785,0.8422116,0.83347315,0.8055284
66,0.8257115,0.8293672,0.84831804,0.83228946,0.81870484,0.8104237
67,0.71027255,0.7130655,0.7074964,0.6959996,0.697981,0.6930334
68,0.6888982,0.6912576,0.7038075,0.6891025,0.68583024,0.66945505
69,0.05152607,0.059140146,0.055995822,0.040056586,0.02668327,0.021511614
70,0.8094535,0.8138416,0.825189,0.80763304,0.7887082,0.76645446
71,0.1769833,0.18104917,0.18801045,0.18030328,0.17037785,0.15732151
72,0.8912559,0.89108545,0.88266695,0.8887987,0.89101887,0.8803741
73,0.7510123,0.7585012,0.77435184,0.74944764,0.74113315,0.7326325
74,0.8226712,0.82525694,0.8395714,0.82002544,0.81182593,0.8093909
