,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm
0,0.40139177,0.6584687,0.6730709,0.6291823,0.60037297,0.5375625,0.47059438
1,0.10007715,0.3661007,0.38398713,0.34229827,0.32774404,0.35497186,0.58319956
2,0.22900434,0.59218293,0.61651355,0.55270076,0.4972829,0.41650474,0.32855108
3,0.5831724,0.71577436,0.72439724,0.69170046,0.6839605,0.64862406,0.61168844
4,0.24032214,0.51808614,0.53240514,0.46700472,0.4352568,0.36302793,0.3045278
5,0.28850952,0.6727742,0.6987314,0.64970887,0.5879041,0.50177765,0.4322877
6,0.24230866,0.6051847,0.64153,0.5783769,0.5216271,0.42946824,0.3497248
7,0.3492675,0.574947,0.60636324,0.55606365,0.49360943,0.42232737,0.33681157
8,0.27920562,0.681171,0.7136026,0.65801346,0.5884019,0.49597093,0.38332894
9,0.26793998,0.6674816,0.6987652,0.6453176,0.56722397,0.46102345,0.37108764
10,0.2801952,0.6398518,0.6600958,0.6068397,0.5756348,0.51503587,0.43036014
11,0.26976714,0.60409075,0.6239662,0.57275015,0.5261363,0.44773856,0.38212082
12,0.22484078,0.53633815,0.5470338,0.4957417,0.45823237,0.3944294,0.340946
13,0.3465304,0.67072695,0.690316,0.6452166,0.5998972,0.5247572,0.44397807
14,0.265811,0.6167747,0.637382,0.584114,0.5226323,0.43431115,0.35545447
15,0.3957333,0.70975566,0.73005676,0.67169285,0.63751566,0.5439591,0.46620739
16,0.21190308,0.4829879,0.50455135,0.45295745,0.4125645,0.3474566,0.27590734
17,0.21630344,0.5074077,0.5251233,0.4688531,0.44624063,0.38671222,0.3120731
18,0.3016455,0.6078329,0.6294362,0.5801737,0.54439914,0.4696312,0.39225164
19,0.29050478,0.66513467,0.6897343,0.64185894,0.56640196,0.4711688,0.3849239
20,0.27965486,0.6436408,0.6773356,0.6283638,0.5501282,0.44728458,0.3862089
21,0.3480609,0.6180284,0.6271132,0.5592564,0.5275323,0.47319922,0.40943554
22,0.32500392,0.6798091,0.7093867,0.6435687,0.59624875,0.50918067,0.4099158
23,0.42463765,0.73119056,0.7441833,0.64998156,0.63356215,0.62852716,0.55997694
24,0.23065767,0.60881376,0.63882333,0.5784414,0.5277865,0.43699953,0.36809874
25,0.40489167,0.57673365,0.5828612,0.511338,0.5243483,0.51320153,0.45097622
26,0.2706436,0.64024293,0.66873884,0.61334056,0.54473656,0.45577765,0.38885814
27,0.7705365,0.8601962,0.8651936,0.85230654,0.8439377,0.82664686,0.81169647
28,0.2827938,0.64376473,0.6813465,0.6264187,0.55426776,0.4713994,0.37869248
29,0.17693889,0.47194684,0.49393904,0.4439317,0.39782768,0.3320036,0.25852314
30,0.34326226,0.61628836,0.6410396,0.5889675,0.5590674,0.48422202,0.4247778
31,0.34574327,0.68983084,0.72272795,0.6747901,0.60102504,0.5193224,0.41864014
32,0.29208177,0.6228862,0.6456532,0.5926539,0.5264112,0.43914977,0.3691853
33,0.24529193,0.6724745,0.71294683,0.66127425,0.57577485,0.48440775,0.40055904
34,0.28797787,0.65353596,0.6821082,0.62760955,0.5607824,0.4810572,0.3742546
35,0.2852412,0.5214185,0.5385539,0.4748504,0.46397194,0.41044003,0.35849023
36,0.24474064,0.6447307,0.6744367,0.6204505,0.5561492,0.44888577,0.36855048
37,0.25954887,0.7218044,0.72863,0.63947004,0.68850607,0.6563069,0.50457305
38,0.27709684,0.74168307,0.7769268,0.71580833,0.63638645,0.5244673,0.45179904
39,0.2737556,0.7176981,0.751256,0.6978111,0.6193756,0.50894046,0.40846774
40,0.36181,0.6466446,0.6627578,0.61376715,0.58275807,0.52084243,0.4418488
41,0.73336893,0.8284833,0.83271533,0.81374437,0.809005,0.78985095,0.7728624
42,0.28442857,0.7296454,0.75582856,0.6954498,0.6438183,0.58049256,0.47514242
43,0.30179518,0.6680004,0.6964034,0.6511616,0.5958774,0.4998323,0.43419772
44,0.36270636,0.65534437,0.68241674,0.61970496,0.5682255,0.4997366,0.4129119
45,0.29480574,0.7237666,0.759416,0.7057116,0.63499683,0.5397615,0.43030158
46,0.77382505,0.9025264,0.92075956,0.8138045,0.8116838,0.73721194,0.7385141
47,0.21551917,0.57781386,0.6051008,0.54356676,0.49552295,0.40593,0.33139187
48,0.33687747,0.6004579,0.6178455,0.57046354,0.5494197,0.48194587,0.40546834
49,0.21631277,0.49493816,0.51509327,0.45893797,0.4372556,0.3627379,0.2954915
50,0.2614798,0.62729156,0.6592631,0.60412973,0.5333625,0.45289215,0.37568897
51,0.31826496,0.6707759,0.6950566,0.6488406,0.5762582,0.50810975,0.42943382
52,0.5843406,0.71642727,0.7239433,0.6987081,0.6884908,0.65948325,0.63056433
53,0.26116103,0.5986248,0.6255367,0.5684563,0.5219137,0.4432785,0.3698119
54,0.43550512,0.7096776,0.726083,0.6872717,0.6406085,0.57562006,0.5136426
55,0.28072792,0.5388116,0.56214136,0.50619465,0.46744597,0.39340445,0.34547943
56,0.3040728,0.6593002,0.6929284,0.6275552,0.5943723,0.5300106,0.50163263
57,0.3785069,0.867678,0.908799,0.86913717,0.77770114,0.6584388,0.60653925
58,0.6109137,0.7771088,0.78631175,0.7595538,0.7473744,0.7101055,0.6767896
59,0.34870014,0.64333427,0.6644424,0.5996804,0.5727379,0.51803535,0.43874606
60,0.1492247,0.3721877,0.38206366,0.33351746,0.3178001,0.25262856,0.21044408
61,0.22614998,0.5652883,0.58592796,0.52633893,0.47119313,0.384694,0.32244545
62,0.28850612,0.65929055,0.69347894,0.6369914,0.57469517,0.49041831,0.40697306
63,0.1889035,0.42241237,0.43870676,0.38863662,0.3637081,0.30116215,0.25570068
64,0.28162694,0.58788824,0.61669374,0.5646651,0.5096584,0.41592452,0.3410851
65,0.20644665,0.51723814,0.5432481,0.48840815,0.4416478,0.35895428,0.28784224
66,0.22556284,0.517156,0.53952223,0.4948475,0.45351088,0.3770796,0.3063778
67,0.41389677,0.7875528,0.80517,0.73721313,0.6882274,0.6217635,0.5605107
68,0.28580305,0.56156754,0.5827411,0.53247327,0.50244135,0.43067172,0.3598101
69,0.64865315,0.76900166,0.78160274,0.7626114,0.74074477,0.71266115,0.6952047
70,0.26892576,0.68044496,0.71707964,0.67256176,0.58887935,0.4879675,0.4068474
71,0.4734383,0.6983761,0.71700907,0.6769721,0.65666765,0.5926271,0.5333662
72,0.30098882,0.63665485,0.6707252,0.61950356,0.5482011,0.46343437,0.38079876
73,0.18962559,0.48496434,0.50612134,0.45018908,0.41600534,0.34268162,0.281901
74,0.2613088,0.604019,0.6226504,0.5706,0.52540576,0.44241518,0.3636352
75,0.32296625,0.58690846,0.600897,0.547811,0.53018713,0.46235108,0.4045947
76,0.38179484,0.655499,0.66161233,0.601478,0.5856668,0.5576899,0.5079772
77,0.28211465,0.6547088,0.684598,0.6331388,0.5738011,0.48672873,0.38631913
78,0.331835,0.72026056,0.7599504,0.7029012,0.64473516,0.5546125,0.4840237
79,0.3332937,0.7028571,0.73029155,0.6884327,0.620522,0.54017013,0.44577417
80,0.22504646,0.6118531,0.6410016,0.58263075,0.5121907,0.42310953,0.34145644
81,0.6011456,0.76627225,0.7747173,0.7461283,0.72844005,0.69462496,0.65791184
82,0.23093244,0.55523586,0.5830924,0.52670085,0.4884946,0.41195536,0.3394412
83,0.23297092,0.5904942,0.62512344,0.5638429,0.50562406,0.4096414,0.32865494
84,0.2366137,0.53869224,0.5606368,0.5135013,0.47365463,0.39303747,0.32383895
85,0.6417528,0.75808144,0.7676973,0.74125344,0.7328534,0.70145005,0.6707049
86,0.35747886,0.65255314,0.67482215,0.6269194,0.586609,0.51310563,0.43619096
87,0.26272446,0.58019125,0.604605,0.5488191,0.5081619,0.42617422,0.3594331
88,0.32717395,0.69438493,0.73351884,0.6979133,0.6111377,0.51304334,0.40241292
89,0.14794941,0.35286185,0.36627328,0.31909215,0.30570644,0.24346925,0.20948042
90,0.24540214,0.56001246,0.57553744,0.4991637,0.47465444,0.4025756,0.3455125
91,0.2814865,0.6576284,0.6851208,0.6229463,0.5713395,0.48022208,0.4000146
92,0.35517755,0.64722335,0.67552936,0.6282003,0.5749893,0.49394366,0.40920913
93,0.31220976,0.6290395,0.6475042,0.5983156,0.56174046,0.5025859,0.41460654
94,0.23106591,0.67704725,0.7042349,0.6442675,0.5924754,0.4984538,0.40720984
95,0.27930582,0.6648,0.69905275,0.6506065,0.57404137,0.4617976,0.39161968
96,0.7217871,0.78031445,0.7868708,0.7745168,0.7662981,0.7493475,0.73781747
97,0.40575176,0.73690593,0.7416444,0.6688928,0.71968794,0.7155798,0.7086304
98,0.5622987,0.77754813,0.7883815,0.7505365,0.7303925,0.682704,0.633563
99,0.30603266,0.92931783,0.9823412,0.92608595,0.79473835,0.655362,0.5853319
100,0.55830836,0.7517014,0.76585096,0.7335227,0.7133794,0.66264504,0.61815137
101,0.25700098,0.52899975,0.54338527,0.49247795,0.46638963,0.39794508,0.33523217
102,0.3356661,0.5809026,0.59432006,0.5405652,0.5290932,0.46445498,0.4061594
103,0.2890417,0.619564,0.6449727,0.60295117,0.55292857,0.46367332,0.397723
104,0.38707638,0.6144773,0.64175934,0.5840056,0.52256685,0.44460204,0.36948138
105,0.24717917,0.48686004,0.5071955,0.45379537,0.4401983,0.37777606,0.31165794
106,0.21964216,0.5382085,0.5601362,0.5057411,0.46264705,0.38116094,0.31832394
107,0.27605313,0.6404573,0.6720121,0.61642873,0.54046047,0.45553282,0.36988634
108,0.40662912,0.65079457,0.66434854,0.62640554,0.604154,0.5508296,0.48046327
109,0.32829332,0.7530601,0.76364684,0.66572744,0.663483,0.6152851,0.5060368
110,0.20022489,0.47719568,0.4985886,0.4470271,0.42723843,0.35519114,0.28128728
111,0.32051152,0.74590033,0.7890931,0.7176977,0.6749871,0.60355675,0.5589429
112,0.2315145,0.5545541,0.57460606,0.51738876,0.4902145,0.41139126,0.34703106
113,0.22828637,0.55502295,0.5733612,0.5129893,0.49189404,0.4179225,0.3504786
114,0.23347436,0.5206871,0.53833747,0.47345218,0.44964027,0.3724698,0.29565975
115,0.1863228,0.44446075,0.46554515,0.41476268,0.3782332,0.3086112,0.23446135
116,0.56535393,0.7772922,0.79276574,0.7674081,0.7530354,0.72574407,0.6960018
117,0.38407525,0.596932,0.6067796,0.5576465,0.5505819,0.4987518,0.44599244
118,0.7042899,0.91133344,0.9314437,0.905902,0.8686039,0.8284316,0.82275885
119,0.17714536,0.40210253,0.41580868,0.36416516,0.3452049,0.29712266,0.23532973
120,0.3566119,0.6354091,0.6485784,0.6046115,0.57270944,0.50760174,0.42496774
121,0.68366516,0.7742332,0.78111935,0.7673923,0.7581099,0.7386213,0.7244226
122,0.25965253,0.5077531,0.51963997,0.4689377,0.45184156,0.3915977,0.33568057
123,0.38405764,0.6726719,0.68760157,0.6428818,0.6045689,0.5371775,0.4632169
124,0.2709209,0.61591107,0.6327536,0.56165737,0.54106134,0.47945935,0.39064947
125,0.30015612,0.6571873,0.6769936,0.61381125,0.5948281,0.55035925,0.45245317
126,0.22707665,0.5492468,0.57665104,0.51354635,0.46102104,0.37654942,0.31345144
127,0.3130428,0.574654,0.5971227,0.5428372,0.5095529,0.4398232,0.36759976
128,0.19563937,0.5430197,0.5715575,0.51659673,0.46500963,0.38103163,0.28412464
129,0.5726335,0.74496466,0.7546908,0.72544116,0.7128174,0.67766625,0.6409749
130,0.30424318,0.67755616,0.70371914,0.64589727,0.5896613,0.5052962,0.41676724
