,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
0,0.80084825,0.80104715,0.800335,0.80048484,0.796867,0.80655134,0.81416136
1,0.9642242,0.9645055,0.9640759,0.9627617,0.96695286,0.9642987,0.96086806
2,0.9764749,0.97603923,0.9761878,0.98151904,0.98586285,0.9919335,0.99007595
3,0.9557115,0.95561415,0.95543486,0.95357263,0.9532963,0.9582294,0.9475983
4,0.9628331,0.96257573,0.9625104,0.96136457,0.9616596,0.9823505,0.9771418
5,0.95525885,0.95578843,0.95546967,0.9537183,0.9434181,0.93924296,0.93696225
6,0.8934627,0.8932609,0.89344275,0.8903098,0.8906875,0.89571,0.90866244
7,0.9995965,0.9995531,1.0009474,0.9987233,0.9964546,0.98751646,0.9793312
8,0.88316566,0.88304263,0.8825905,0.87857646,0.87119097,0.87931174,0.87407386
9,0.98591346,0.98573834,0.98596096,0.9874496,0.9942375,1.0046029,0.9946282
10,0.9359608,0.9357362,0.935042,0.93282944,0.93399525,0.9422758,0.9435947
11,0.97394335,0.974257,0.97450644,0.97245693,0.9658963,0.9632487,0.96198887
12,1.0112435,1.0112321,1.0111457,1.010755,1.0081855,0.99674714,0.99446434
13,0.9446619,0.94462305,0.944112,0.93873936,0.9248051,0.928462,0.95561427
14,0.93813205,0.93817216,0.93835884,0.94005895,0.9410045,0.95028,0.9495669
15,0.9698968,0.9697164,0.9690685,0.96732235,0.96752137,0.97546035,0.97374237
16,0.055966377,0.05595827,0.05596274,0.05602324,0.056470573,0.056224465,0.05549431
17,0.96172595,0.9618812,0.96245533,0.9645822,0.9691607,0.9721656,0.9770384
18,0.94830996,0.9482818,0.94800085,0.94720477,0.94541925,0.9393507,0.95017594
19,0.9383617,0.93828833,0.9388124,0.94061404,0.94408786,0.95672095,0.9773291
20,0.44338745,0.44325703,0.44390255,0.44981182,0.46500325,0.44372267,0.38619894
21,0.9723222,0.9724393,0.97200346,0.9667473,0.96423995,0.9658707,0.96108145
22,0.9694662,0.9696777,0.9705428,0.9732143,0.97829634,0.97930604,0.97251636
23,0.96999294,0.9703381,0.96957034,0.9707311,0.97430366,0.9741531,0.978849
24,0.9928294,0.99235034,0.9929294,0.99507874,0.9995661,0.99458975,0.9903003
25,0.89539397,0.89532346,0.8958167,0.89521486,0.8960842,0.88932586,0.88445866
26,0.9251208,0.9254799,0.9254366,0.9262227,0.9313915,0.9459833,0.9362737
27,0.9645048,0.9640481,0.9642068,0.9635699,0.9604364,0.96542716,0.9600686
28,0.052051485,0.05209291,0.05194336,0.052428722,0.055948377,0.04938346,0.043048322
29,0.98642343,0.986874,0.98581654,0.98230505,0.9787134,0.9731179,0.9701454
30,0.82625175,0.8264602,0.826145,0.82613945,0.8303125,0.8425163,0.85492355
31,0.8398273,0.83983284,0.8395362,0.8392704,0.842083,0.85741484,0.8492527
32,0.98266876,0.98297507,0.98237467,0.98359716,0.9818156,0.98340255,0.9931123
33,0.9831883,0.9834007,0.9834157,0.9846727,0.9860783,0.9885773,0.99296695
34,0.905515,0.9054646,0.90584594,0.9071425,0.9085491,0.91781914,0.9075471
35,0.8307216,0.8306541,0.8304425,0.8290371,0.83684427,0.85772383,0.8450335
36,0.933831,0.9335262,0.9336522,0.93380874,0.9293542,0.93070525,0.9304857
37,0.97776055,0.97713894,0.97632116,0.9741804,0.9812133,0.9846547,0.9794294
38,0.9736199,0.9736002,0.9740969,0.9727419,0.97426134,0.9737102,0.9820947
39,0.9468056,0.9462325,0.94646865,0.9460412,0.95015216,0.94795245,0.9288102
40,1.0050938,1.0054393,1.0050877,1.0021858,1.0104364,1.0097142,0.9959239
41,0.95219105,0.9522929,0.95184857,0.95280683,0.95811754,0.9720449,0.96427506
42,0.976646,0.9772094,0.9769803,0.97527844,0.9682026,0.96378887,0.9490794
43,0.9663849,0.96652776,0.9668269,0.96983826,0.9736326,0.97335774,0.9839009
44,0.9570696,0.95693403,0.9562158,0.9571699,0.9579907,0.9610259,0.9544472
45,0.072827876,0.072838426,0.07271391,0.07268149,0.07640672,0.07607901,0.06543267
46,0.9377663,0.9377112,0.9370024,0.93885356,0.9404434,0.95139396,0.9535917
47,0.9650784,0.9652996,0.96496886,0.96036017,0.95055777,0.95253474,0.9580304
48,0.9311592,0.9306448,0.93070334,0.93217754,0.933315,0.9527403,0.9472468
49,0.9700405,0.97031367,0.970872,0.9712228,0.9811284,0.973127,0.9524016
50,0.94524056,0.9455694,0.944531,0.94442374,0.95071363,0.9672396,0.9590313
51,0.9525301,0.95192164,0.95240647,0.9522536,0.9576462,0.95669097,0.9606494
52,0.9552144,0.95598507,0.95617926,0.95819986,0.96183753,0.96312284,0.95487463
53,0.44145358,0.44156712,0.44115728,0.44520444,0.45419753,0.4188906,0.38682228
54,0.94370973,0.9433012,0.94362813,0.9450359,0.95061857,0.9587941,0.9655794
55,0.90475357,0.9048048,0.9052517,0.9045766,0.9082933,0.9161587,0.91688234
56,0.9419734,0.94192487,0.94072306,0.93712604,0.9304716,0.93223566,0.9250683
57,0.9285392,0.92946166,0.9292354,0.93131584,0.9352368,0.93066543,0.9045421
58,0.94597983,0.9458091,0.9459701,0.94567615,0.94553393,0.9544599,0.95073116
59,0.96051526,0.960687,0.9605408,0.9624164,0.9697563,0.96551853,0.9714637
60,0.8411161,0.84128505,0.84123886,0.84027815,0.8496001,0.8612331,0.86213076
61,0.9752826,0.974888,0.9758599,0.97794247,0.9783136,0.9821161,0.9906786
