,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
0,0.10871425,0.20479685,0.20482616,0.2049038,0.20646164,0.20799275,0.18127179,0.16969259
1,0.08337297,0.24091193,0.24084686,0.24105068,0.24404073,0.2519638,0.2331747,0.20447335
2,0.10129792,0.16503614,0.16517144,0.16514646,0.16724348,0.16939591,0.1507525,0.14369568
3,0.094655424,0.1932708,0.19318645,0.19336312,0.19508158,0.19822538,0.17836642,0.16143557
4,0.11283536,0.21157141,0.21164334,0.21157779,0.2131155,0.21895356,0.203799,0.18535143
5,0.08434889,0.16623853,0.16622885,0.16632104,0.16779855,0.17246431,0.15512642,0.14119129
6,0.14160183,0.26415542,0.26438254,0.26439133,0.2665661,0.27234688,0.25465855,0.23402143
7,0.12762295,0.21062002,0.21034475,0.21026716,0.20901097,0.20926763,0.1825301,0.1794871
8,0.18637863,0.3803315,0.38042402,0.38042673,0.3825988,0.38569474,0.3371904,0.32390296
9,0.13620074,0.17870554,0.17869452,0.17865962,0.179414,0.18261696,0.16174503,0.15425651
10,0.11894857,0.31465864,0.31460166,0.3146943,0.3173908,0.32698908,0.30011588,0.26223105
11,0.09278142,0.17179406,0.17168151,0.17177214,0.17262727,0.17448944,0.15527679,0.14297378
12,0.1594015,0.23810518,0.23808342,0.23816039,0.23880804,0.23727897,0.20487714,0.20002039
13,0.10228957,0.19795384,0.19797564,0.19798706,0.19883503,0.20471992,0.1889989,0.17028534
14,0.08049604,0.1706128,0.17069106,0.17061199,0.17190035,0.1764045,0.15520184,0.14241774
15,0.101688795,0.1611528,0.16114455,0.16119474,0.16208173,0.16315301,0.1425785,0.13673012
16,0.523621,0.6502395,0.65024567,0.65036196,0.6517036,0.6528383,0.6255039,0.617279
17,0.08614302,0.19509192,0.19500199,0.19495897,0.19552639,0.19945505,0.18269522,0.16400288
18,0.119151905,0.2644435,0.26454225,0.2646224,0.2687041,0.2797872,0.247735,0.22708881
19,0.08806997,0.17612344,0.17631467,0.17604026,0.17657122,0.18209918,0.1664095,0.1505706
20,0.55577075,0.8902345,0.890007,0.8908028,0.89990425,0.9362508,0.9031764,0.83915794
21,0.101798184,0.20367959,0.20380442,0.20370655,0.20429306,0.20744218,0.18622248,0.17094356
22,0.0996744,0.21412775,0.21412967,0.21430947,0.21634987,0.22098333,0.1975636,0.17450854
23,0.11657022,0.20966023,0.2096084,0.20953676,0.21043178,0.21133108,0.19107965,0.18383841
24,0.15253045,0.18521152,0.18511294,0.1853788,0.1864438,0.18738845,0.16297758,0.16168211
25,0.105933964,0.30138326,0.30131662,0.30140942,0.30292395,0.31263632,0.28747132,0.2518502
26,0.07944343,0.2175403,0.21753816,0.21762687,0.21966907,0.22619715,0.20272619,0.1779448
27,0.12033185,0.21976349,0.21988447,0.22000062,0.22127077,0.22407168,0.20344575,0.19129351
28,0.42501572,0.5789696,0.5789068,0.5790035,0.5806936,0.58523726,0.5529255,0.5385054
29,0.26245052,0.19486706,0.19482258,0.1947873,0.19545715,0.1977119,0.17055494,0.16113983
30,0.13347025,0.24009292,0.24009964,0.24022128,0.24238007,0.24533243,0.21427695,0.20433992
31,0.14543934,0.27024356,0.27007198,0.27009454,0.27203536,0.27882433,0.25558633,0.2339415
32,0.09165313,0.2037347,0.20369971,0.20382777,0.20559984,0.21103263,0.18890195,0.17407012
33,0.119098336,0.24463665,0.24464865,0.24445462,0.24555863,0.25178683,0.23435259,0.20879285
34,0.16678399,0.43928373,0.43933028,0.43956974,0.44558683,0.46204683,0.4199794,0.37568018
35,0.1743851,0.47575602,0.475802,0.47592184,0.47997886,0.49819422,0.46904638,0.4094919
36,0.09845025,0.22702603,0.2269609,0.22693895,0.22863868,0.2349582,0.21272394,0.19273314
37,0.16838878,0.25848037,0.2585713,0.25880778,0.2594514,0.25877932,0.23028962,0.2231278
38,0.22819708,0.25061172,0.25034106,0.25009814,0.24989721,0.2523511,0.22792539,0.22151968
39,0.101809904,0.18462121,0.18443003,0.18452013,0.1855279,0.18866773,0.1714221,0.15692829
40,0.12474673,0.18100405,0.1810277,0.18065979,0.18152675,0.1824605,0.16621229,0.16263287
41,0.09510741,0.22524,0.22542594,0.22528292,0.22744796,0.23743598,0.2178866,0.19180512
42,0.10378793,0.17779869,0.17780556,0.17774832,0.1787864,0.18004057,0.1642059,0.15687935
43,0.111608215,0.17712805,0.17717008,0.17721502,0.17907482,0.1831311,0.16531956,0.1591141
44,0.081751905,0.15441762,0.15444383,0.15452711,0.15534788,0.15739545,0.1378633,0.13130607
45,0.30527058,0.4632509,0.4632846,0.46333876,0.46508136,0.4683328,0.43364912,0.41777986
46,0.09432186,0.18242455,0.18251881,0.18236305,0.1845316,0.18994312,0.17246902,0.15875044
47,0.08013246,0.14822172,0.14825706,0.14839925,0.14955708,0.15114951,0.13444428,0.123609126
48,0.104485705,0.18856002,0.18854308,0.18861607,0.18919645,0.19260296,0.18192378,0.16385134
49,0.11681397,0.2142317,0.21417668,0.21416074,0.21615443,0.2174941,0.19053346,0.17778255
50,0.101330794,0.25940612,0.25943363,0.25937802,0.26160762,0.27080354,0.2465623,0.2182557
51,0.094914176,0.16854905,0.16875182,0.1686022,0.16940054,0.17061514,0.15656185,0.14846478
52,0.08368106,0.14445142,0.14463133,0.144529,0.14552905,0.14771426,0.13191286,0.12320947
53,0.6054641,0.81791896,0.8182336,0.8179448,0.82368916,0.8354404,0.76823467,0.7256129
54,0.102761485,0.21375045,0.21363033,0.21354368,0.21390994,0.21583055,0.1860877,0.18080302
55,0.106583044,0.19284604,0.1928373,0.19299105,0.19481754,0.20020902,0.18159267,0.16778491
56,0.08876258,0.16952278,0.1694915,0.16951004,0.17003046,0.17354907,0.15902519,0.14921692
57,0.101687975,0.2151942,0.21538812,0.2149108,0.21543959,0.22163986,0.20309873,0.17876127
58,0.10641224,0.22312622,0.22310805,0.22292377,0.2231049,0.22697268,0.20909277,0.19157958
59,0.10496714,0.21372229,0.21390748,0.21373752,0.21505024,0.21404544,0.18204977,0.17850682
60,0.21829435,0.40156692,0.40153793,0.40150455,0.40505764,0.41692665,0.37747586,0.35312095
61,0.097620025,0.16933843,0.1693707,0.16934447,0.1707293,0.17096025,0.15186504,0.14736123
62,0.15148975,0.27850917,0.27860576,0.27880925,0.28026524,0.28257748,0.24777365,0.24271843
63,0.10965195,0.18749292,0.18736279,0.18737051,0.1890425,0.19193779,0.17170356,0.16362187
64,0.099651985,0.18452519,0.18468104,0.18471213,0.18693653,0.19324796,0.17320865,0.15630665
65,0.11498091,0.30941698,0.30945495,0.30936855,0.31212842,0.3232581,0.29641545,0.25486183
66,0.12293168,0.22499086,0.2251178,0.22521374,0.22690104,0.23385571,0.21384758,0.1968952
