,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
0,0.0018817842,0.0018822019,0.0018818408,0.001882311,0.0018820001,0.001882366,0.0018823168,0.0018821754,0.0018819941,0.0018819105,0.0018822005,0.0018816207,0.0018819399,0.0018820531,0.0018821459,0.0018820465
1,0.001907851,0.0019077979,0.0019077118,0.0019082499,0.0019080419,0.0019074718,0.0019071066,0.0019071446,0.0019079065,0.0019069785,0.001907538,0.0019080496,0.0019083795,0.0019081407,0.0019077436,0.0019078563
2,0.0018980464,0.0018983241,0.00189757,0.0018974413,0.0018977793,0.0018977603,0.0018974538,0.0018982239,0.0018975026,0.0018977027,0.0018977337,0.0018977626,0.0018974376,0.0018982468,0.001897212,0.0018981046
3,0.0018856749,0.0018860903,0.0018852996,0.0018854135,0.0018856756,0.0018856345,0.0018863034,0.0018858252,0.0018856707,0.0018851061,0.0018851315,0.0018857991,0.0018852534,0.0018856032,0.0018855392,0.0018851603
4,0.0018908037,0.0018908859,0.0018905901,0.0018907252,0.0018911242,0.0018908004,0.0018903028,0.0018903617,0.0018911011,0.0018907455,0.0018907055,0.0018904022,0.0018904888,0.0018905158,0.0018907938,0.0018910496
5,0.0018716367,0.0018723275,0.0018718919,0.0018723247,0.001871969,0.0018722762,0.0018723065,0.0018715841,0.0018714282,0.001871612,0.0018722666,0.0018714699,0.0018714815,0.0018719406,0.0018716576,0.0018720732
6,0.001883897,0.0018840927,0.001883521,0.0018838417,0.0018837623,0.0018837929,0.0018833582,0.0018835475,0.0018830921,0.001883712,0.0018837987,0.0018835161,0.0018834358,0.001883386,0.0018835581,0.0018838032
7,0.0018877939,0.0018878697,0.0018878232,0.0018869039,0.001887693,0.0018874743,0.0018884169,0.0018878768,0.0018875003,0.0018869637,0.0018874028,0.0018872548,0.0018882406,0.0018869763,0.0018870652,0.0018876435
8,0.0018796525,0.0018797357,0.0018794651,0.0018788633,0.0018792734,0.0018793534,0.0018797052,0.0018795064,0.0018795835,0.0018799801,0.0018796801,0.0018795825,0.0018796596,0.0018794028,0.0018797743,0.0018796715
9,0.0018811168,0.0018811084,0.0018802879,0.0018808041,0.0018805441,0.0018809276,0.001880735,0.0018807256,0.0018806042,0.0018803681,0.0018807503,0.0018809641,0.0018806237,0.0018807676,0.0018805997,0.0018808625
10,0.0019002191,0.0019014088,0.0019014346,0.0019000092,0.0019008573,0.0019002063,0.0018996848,0.0019005073,0.0019002312,0.0019009424,0.0019005447,0.0019011296,0.0019014182,0.0019011414,0.0019006864,0.0019016742
11,0.0018897415,0.001889533,0.0018889268,0.0018892626,0.0018895859,0.0018893656,0.0018889442,0.0018892497,0.0018891417,0.0018893818,0.0018893466,0.0018893455,0.0018893107,0.0018887621,0.001889153,0.0018895831
12,0.001887574,0.0018874041,0.0018876937,0.0018879063,0.0018875096,0.0018877446,0.0018875732,0.0018877892,0.0018879307,0.0018874812,0.0018878903,0.0018874097,0.0018878329,0.0018873328,0.0018878686,0.0018881572
13,0.0018964348,0.0018960531,0.0018957248,0.001896119,0.0018960788,0.0018964037,0.0018957532,0.0018961579,0.0018961396,0.0018961442,0.0018964036,0.0018961088,0.0018962736,0.0018961105,0.0018958963,0.001895866
14,0.0019046264,0.0019049753,0.0019050139,0.0019051066,0.0019051969,0.0019053029,0.0019048604,0.0019053095,0.0019047037,0.001904762,0.0019049137,0.0019050828,0.0019049048,0.0019052072,0.0019043545,0.0019050627
15,0.0018885151,0.0018878819,0.0018879165,0.0018888074,0.0018881789,0.0018888718,0.0018876934,0.0018880662,0.0018882395,0.0018877535,0.0018878347,0.0018874552,0.001888125,0.0018882884,0.0018877271,0.0018874389
16,0.0019087445,0.0019092447,0.0019075312,0.0019078624,0.0019079404,0.0019082365,0.0019103413,0.0019090049,0.0019092266,0.0019079251,0.0019089532,0.0019087122,0.0019088638,0.0019085237,0.00190976,0.0019085451
17,0.0018861542,0.0018865821,0.0018861606,0.0018859161,0.0018862063,0.00188617,0.0018864064,0.0018859848,0.0018865366,0.0018864089,0.0018857878,0.0018861232,0.0018863858,0.0018866751,0.0018864621,0.001886489
18,0.0018853339,0.0018859525,0.0018854351,0.0018857742,0.0018851295,0.0018862518,0.0018862042,0.0018857644,0.0018855153,0.0018855308,0.0018857433,0.0018853465,0.0018850256,0.0018860286,0.0018864316,0.0018850575
19,0.0018851355,0.0018849357,0.001885429,0.0018851033,0.0018851671,0.0018853211,0.0018852637,0.0018854996,0.001885129,0.0018850723,0.0018851047,0.0018854592,0.0018849021,0.0018850241,0.0018851545,0.0018850864
20,0.0018883275,0.0018884076,0.001888744,0.0018881023,0.0018882622,0.0018883796,0.0018881676,0.0018882726,0.0018887103,0.0018882114,0.0018877168,0.001888134,0.0018882458,0.0018885602,0.0018884001,0.0018880612
