,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
0,0.014388711,0.014385507,0.0143882595,0.014384668,0.014387051,0.014384256,0.014384647,0.014385703,0.014387102,0.014387749,0.014385518,0.014389956,0.014387504,0.014386642,0.014385922,0.014386685
1,0.014191746,0.014192135,0.014192763,0.014188784,0.0141902985,0.014194581,0.014197301,0.014197012,0.014191337,0.01419823,0.014194081,0.014190245,0.014187793,0.014189583,0.014192519,0.014191706
2,0.014265176,0.014263109,0.014268769,0.014269742,0.014267183,0.014267345,0.014269644,0.014263876,0.014269322,0.01426778,0.014267552,0.014267322,0.014269772,0.014263676,0.014271473,0.014264755
3,0.01435895,0.014355797,0.014361798,0.01436095,0.014358943,0.01435925,0.014354156,0.014357809,0.014358967,0.014363296,0.014363094,0.014358013,0.01436217,0.014359495,0.014360003,0.014362879
4,0.014319916,0.014319321,0.01432153,0.01432053,0.014317507,0.014319951,0.0143237375,0.014323299,0.014317662,0.014320363,0.014320679,0.0143229645,0.014322317,0.014322103,0.01432,0.014318061
5,0.014466873,0.014461489,0.014464881,0.014461526,0.014464278,0.014461903,0.014461673,0.014467248,0.014468466,0.014467037,0.0144619625,0.014468148,0.014468056,0.014464499,0.014466693,0.014463491
6,0.014372535,0.014371035,0.014375398,0.014372971,0.0143735595,0.014373348,0.014376658,0.014375202,0.014378685,0.014373947,0.014373291,0.014375434,0.014376049,0.014376451,0.014375123,0.014373227
7,0.014342826,0.014342215,0.014342598,0.014349582,0.014343585,0.014345245,0.014338068,0.014342189,0.014345027,0.014349122,0.014345792,0.014346906,0.014339437,0.014349045,0.014348366,0.014343949
8,0.014405038,0.014404412,0.014406483,0.014411109,0.01440796,0.014407343,0.014404633,0.014406161,0.014405574,0.01440253,0.014404835,0.014405583,0.014404986,0.014406956,0.014404116,0.014404898
9,0.014393801,0.014393867,0.014400165,0.014396227,0.014398205,0.014395273,0.014396725,0.014396796,0.0143977385,0.014399565,0.014396627,0.014394973,0.014397585,0.014396489,0.014397793,0.014395737
